node;pid;tid;core_id;sample_count;
otapie;33306;33346;9;1028;
otapie;33306;33369;32;1031;
otapie;33306;33347;10;1030;
otapie;33306;33368;31;1031;
otapie;33306;33348;11;1030;
otapie;33306;33367;30;1025;
otapie;33306;33349;12;1031;
otapie;33306;33366;29;1029;
otapie;33306;33350;13;1031;
otapie;33306;33365;28;1027;
otapie;33306;33351;14;1028;
otapie;33306;33364;27;1031;
otapie;33306;33352;15;1030;
otapie;33306;33363;26;1031;
otapie;33306;33353;16;1029;
otapie;33306;33362;25;1026;
otapie;33306;33306;1;994;
otapie;33306;33361;24;1031;
otapie;33306;33339;2;1031;
otapie;33306;33360;23;1031;
otapie;33306;33340;3;1031;
otapie;33306;33359;22;1031;
otapie;33306;33341;4;1031;
otapie;33306;33358;21;1028;
otapie;33306;33342;5;1030;
otapie;33306;33357;20;1031;
otapie;33306;33343;6;1030;
otapie;33306;33356;19;1026;
otapie;33306;33344;7;1031;
otapie;33306;33355;18;1027;
otapie;33306;33345;8;1030;
otapie;33306;33354;17;1030;
